,index,FrameNo,x1,y1,x2,y2,trackNo,detection,x,y,x_trans,y_trans
47,60.0,55.0,3563.9697203058986,1275.5651077292428,3575.120677689557,1285.5889034241318,1.0,1.0,684.1628298078979,436.3447574557601,27.56048240935978,6.849671648893121
48,62.0,56.0,3562.4393857895016,1276.3774239489187,3573.6322010766867,1286.3301214897697,1.0,1.0,683.8735270746764,436.6094336673321,27.546613753509856,6.865260922187001
49,64.0,57.0,3559.8468801622457,1276.9702523217586,3571.090890993893,1287.1284736721502,1.0,1.0,683.3815364024634,436.84644961377705,27.538416043951987,6.862891355578736
50,66.0,58.0,3559.553552414065,1277.866760998838,3570.890847522266,1288.030682843085,1.0,1.0,683.3342549938984,437.152897839735,27.552204189458973,6.876359879317287
51,68.0,59.0,3560.953845584763,1278.9677331331063,3572.317352596219,1289.045989680613,1.0,1.0,683.6051564923441,437.51344907196693,27.533789544116846,6.890327666758819
52,70.0,60.0,3561.029405286032,1279.9408993521536,3572.4759264513286,1290.0462755600677,1.0,1.0,683.6275942914971,437.8496668368969,27.52107052288487,6.894388824173209
53,72.0,61.0,3560.3307509156643,1280.956576793098,3571.75443112701,1291.104378692754,1.0,1.0,683.491496612423,438.2029776012933,27.514411138190376,6.903640016950766
54,74.0,62.0,3558.438647031165,1281.800546883593,3569.8851660645955,1292.0464345190917,1.0,1.0,683.1310320883438,438.5072634982352,27.496708764806044,6.911547709819971
55,76.0,63.0,3558.008480831269,1282.9961345042968,3569.5727530774425,1293.4109528148583,1.0,1.0,683.059868249585,438.94342969141155,27.5234769506403,6.908981454947043
56,78.0,64.0,3558.231530028857,1284.6986132741936,3570.113043985182,1295.322130753143,1.0,1.0,683.1330216763454,439.5590897231759,27.549919195522683,6.926756408510596
57,80.0,65.0,3557.7583340186707,1286.1275356233034,3569.7470692759,1296.8770513206662,1.0,1.0,683.052601149063,440.0674481460096,27.531959408271813,6.926564652388586
58,82.0,66.0,3556.941132859008,1287.1356720169083,3568.906564620253,1297.9729186189377,1.0,1.0,682.8937376750958,440.4259080342552,27.534180139887184,6.92321090674663
59,85.0,67.0,3558.201118082065,1288.3205997585942,3569.892448961842,1299.2878155532208,1.0,1.0,683.1089668417078,440.85180409016107,27.538291202428876,6.932346085689565
60,88.0,68.0,3557.9677069605805,1289.713602007739,3569.4407670634337,1300.6205258598363,1.0,1.0,683.0433120939681,441.31618474780913,27.577161146275312,6.949265219811008
61,91.0,69.0,3558.502562933664,1291.0687585854096,3569.8792152928245,1302.006346100182,1.0,1.0,683.1365870800386,441.7831659834712,27.549483667658578,6.962982488410546
62,93.0,70.0,3558.8148941097734,1292.437842577626,3570.2196713504845,1303.292137013539,1.0,1.0,683.1991458566081,442.23547800442066,27.548223056770638,6.978815495534843
63,95.0,71.0,3558.9954073539548,1293.8002557052994,3570.2238231153133,1304.49822467818,1.0,1.0,683.2168429199716,442.6730744357039,27.547100809384258,6.9864413544684805
64,98.0,72.0,3559.01661982596,1295.0290980957686,3570.1552373628497,1305.5400500527646,1.0,1.0,683.2123029805942,443.05992894382416,27.563708765588167,7.003063600665381
65,101.0,73.0,3559.1998724421205,1296.8787921757648,3570.1788674519107,1307.3671072085936,1.0,1.0,683.2321292398447,443.6863384136314,27.56345381475881,7.0123117238794865
66,104.0,74.0,3559.129150693077,1298.3122333110898,3570.086129273395,1308.7938973241924,1.0,1.0,683.2164643301203,444.1736370711962,27.57868575832146,7.019039676922046
67,107.0,75.0,3559.1358633788705,1298.8973340063858,3570.0090552354795,1309.4161841722248,1.0,1.0,683.2097213672085,444.37934013413366,27.599853112989177,7.016296355350577
68,109.0,76.0,3559.295614364991,1299.4156644537368,3570.300200541429,1310.0418722923594,1.0,1.0,683.2529322618653,444.57424700118673,27.582545456589408,7.022886223206924
69,111.0,77.0,3559.471659610396,1300.1895037308866,3570.5392482265006,1310.7911149763315,1.0,1.0,683.292712001036,444.83373503900754,27.608524198904416,7.0315668651102365
70,113.0,78.0,3559.615997761555,1300.8470147059504,3570.7811387148563,1311.356377172731,1.0,1.0,683.3297255789895,445.0420593571087,27.605218145039643,7.032142818372175
71,115.0,79.0,3559.8039744752778,1301.4447287276084,3570.9802416432285,1311.8939418090222,1.0,1.0,683.3668207113569,445.2354772025371,27.59339461310859,7.040043382208144
72,117.0,80.0,3559.888821094398,1301.90692635275,3571.1322990254203,1312.4363518758703,1.0,1.0,683.3895240114826,445.4066325870982,27.626189687822787,7.031712165393124
73,119.0,81.0,3560.153595609194,1302.252331623865,3571.521994415192,1312.9206826345078,1.0,1.0,683.4522440440037,445.54799502179685,27.629506003490572,7.038301346098624
74,121.0,82.0,3560.140943212048,1302.5581943623945,3571.6596076412966,1313.2689575240995,1.0,1.0,683.4642194567789,445.65944069177306,27.615098023262558,7.05047839672287
75,123.0,83.0,3560.128294020984,1303.3712962750656,3571.6279040131303,1314.0309672158423,1.0,1.0,683.4599689782693,445.9277930391917,27.6223367795792,7.041467124934351
76,125.0,84.0,3559.7525467648848,1303.924021183075,3571.254698154963,1314.7138007630613,1.0,1.0,683.3881943048189,446.1382955908232,27.60038579304788,7.041404169306623
77,127.0,85.0,3559.5916716974834,1304.348508886649,3570.979898208975,1315.049887388364,1.0,1.0,683.3464421160356,446.2678749209281,27.604379608007665,7.043116333244473
78,129.0,86.0,3559.5358868512,1304.5308264966466,3570.8971138606007,1315.1969450135916,1.0,1.0,683.3331625682142,446.32399070174426,27.61108875491217,7.044168625803864
79,131.0,87.0,3559.498029311173,1304.9255560118345,3570.8425591682726,1315.5177800535732,1.0,1.0,683.3243063959469,446.4459017000324,27.609394204914043,7.051763047826303
80,133.0,88.0,3559.5582125256306,1304.8965527420896,3570.8586946690466,1315.440887327176,1.0,1.0,683.3316202728233,446.4278601599489,27.63388883791682,7.048268181523689
81,135.0,89.0,3559.764216756636,1304.794960764932,3571.0425139233607,1315.287236024284,1.0,1.0,683.368978356833,446.3843742677924,27.611270942749254,7.045329176198725
